تاریخ	        اذان صبح	طلوع	    اذان ظهر	  غروب	   اذان مغرب	نیمه شب
٢٧ اردیبهشت ١٤٠٢	٠٣:٣٧:٢١	٠٥:٠٣:٣٥	١١:٤٩:٥٠	١٨:٣٦:٢٣	١٨:٥٤:٢٧	٢٣:٠٦:٢٩
٢٨ اردیبهشت ١٤٠٢	٠٣:٣٦:٣٦	٠٥:٠٣:٠٥	١١:٤٩:٥٢	١٨:٣٦:٥٧	١٨:٥٥:٠٤	٢٣:٠٦:٢٥
٢٩ اردیبهشت ١٤٠٢	٠٣:٣٥:٥٣	٠٥:٠٢:٣٥	١١:٤٩:٥٤	١٨:٣٧:٣٢	١٨:٥٥:٤٠	٢٣:٠٦:٢٢
٣٠ اردیبهشت ١٤٠٢	٠٣:٣٥:١٢	٠٥:٠٢:٠٧	١١:٤٩:٥٨	١٨:٣٨:٠٦	١٨:٥٦:١٧	٢٣:٠٦:١٩
٣١ اردیبهشت ١٤٠٢	٠٣:٣٤:٣١	٠٥:٠١:٤٠	١١:٥٠:٠١	١٨:٣٨:٤٠	١٨:٥٦:٥٣	٢٣:٠٦:١٦
٠١ خرداد ١٤٠٢	٠٣:٣٣:٥٣	٠٥:٠١:١٤	١١:٥٠:٠٦	١٨:٣٩:١٤	١٨:٥٧:٢٩	٢٣:٠٦:١٥
٠٢ خرداد ١٤٠٢	٠٣:٣٣:١٥	٠٥:٠٠:٤٩	١١:٥٠:١٠	١٨:٣٩:٤٨	١٨:٥٨:٠٥	٢٣:٠٦:١٤
٠٣ خرداد ١٤٠٢	٠٣:٣٢:٤٠	٠٥:٠٠:٢٦	١١:٥٠:١٦	١٨:٤٠:٢١	١٨:٥٨:٤٠	٢٣:٠٦:١٣
٠٤ خرداد ١٤٠٢	٠٣:٣٢:٠٥	٠٥:٠٠:٠٤	١١:٥٠:٢١	١٨:٤٠:٥٤	١٨:٥٩:١٥	٢٣:٠٦:١٣
٠٥ خرداد ١٤٠٢	٠٣:٣١:٣٣	٠٤:٥٩:٤٣	١١:٥٠:٢٨	١٨:٤١:٢٧	١٨:٥٩:٤٩	٢٣:٠٦:١٤
٠٦ خرداد ١٤٠٢	٠٣:٣١:٠٢	٠٤:٥٩:٢٤	١١:٥٠:٣٤	١٨:٤١:٥٩	١٩:٠٠:٢٣	٢٣:٠٦:١٦
٠٧ خرداد ١٤٠٢	٠٣:٣٠:٣٢	٠٤:٥٩:٠٦	١١:٥٠:٤٢	١٨:٤٢:٣١	١٩:٠٠:٥٧	٢٣:٠٦:١٨
٠٨ خرداد ١٤٠٢	٠٣:٣٠:٠٤	٠٤:٥٨:٤٩	١١:٥٠:٤٩	١٨:٤٣:٠٢	١٩:٠١:٣٠	٢٣:٠٦:٢٠
٠٩ خرداد ١٤٠٢	٠٣:٢٩:٣٨	٠٤:٥٨:٣٤	١١:٥٠:٥٧	١٨:٤٣:٣٣	١٩:٠٢:٠٣	٢٣:٠٦:٢٣
١٠ خرداد ١٤٠٢	٠٣:٢٩:١٣	٠٤:٥٨:٢٠	١١:٥١:٠٦	١٨:٤٤:٠٤	١٩:٠٢:٣٥	٢٣:٠٦:٢٧
١١ خرداد ١٤٠٢	٠٣:٢٨:٥٠	٠٤:٥٨:٠٧	١١:٥١:١٤	١٨:٤٤:٣٤	١٩:٠٣:٠٦	٢٣:٠٦:٣١
