تاریخ	        اذان صبح	طلوع	    اذان ظهر	  غروب	   اذان مغرب	نیمه شب
٠١ دی ١٤٠٢	٠٥:١٧:٥٣	٠٦:٤٠:٠٢	١١:٥١:٤٨	١٧:٠٣:٣٣	١٧:٢١:٥١	٢٣:١٠:٥٨
٠٢ دی ١٤٠٢	٠٥:١٨:٢٢	٠٦:٤٠:٣٢	١١:٥٢:١٧	١٧:٠٤:٠٤	١٧:٢٢:٢٢	٢٣:١١:٢٧
٠٣ دی ١٤٠٢	٠٥:١٨:٥١	٠٦:٤١:٠٠	١١:٥٢:٤٧	١٧:٠٤:٣٦	١٧:٢٢:٥٤	٢٣:١١:٥٧
٠٤ دی ١٤٠٢	٠٥:١٩:١٨	٠٦:٤١:٢٦	١١:٥٣:١٧	١٧:٠٥:٠٩	١٧:٢٣:٢٧	٢٣:١٢:٢٧
٠٥ دی ١٤٠٢	٠٥:١٩:٤٥	٠٦:٤١:٥٢	١١:٥٣:٤٦	١٧:٠٥:٤٣	١٧:٢٤:٠١	٢٣:١٢:٥٧
٠٦ دی ١٤٠٢	٠٥:٢٠:١١	٠٦:٤٢:١٦	١١:٥٤:١٦	١٧:٠٦:١٨	١٧:٢٤:٣٦	٢٣:١٣:٢٧
٠٧ دی ١٤٠٢	٠٥:٢٠:٣٥	٠٦:٤٢:٣٩	١١:٥٤:٤٥	١٧:٠٦:٥٥	١٧:٢٥:١٢	٢٣:١٣:٥٧
٠٨ دی ١٤٠٢	٠٥:٢٠:٥٩	٠٦:٤٣:٠١	١١:٥٥:١٥	١٧:٠٧:٣٢	١٧:٢٥:٤٨	٢٣:١٤:٢٧
٠٩ دی ١٤٠٢	٠٥:٢١:٢٢	٠٦:٤٣:٢١	١١:٥٥:٤٤	١٧:٠٨:١٠	١٧:٢٦:٢٦	٢٣:١٤:٥٧
١٠ دی ١٤٠٢	٠٥:٢١:٤٣	٠٦:٤٣:٤٠	١١:٥٦:١٢	١٧:٠٨:٥٠	١٧:٢٧:٠٥	٢٣:١٥:٢٧
١١ دی ١٤٠٢	٠٥:٢٢:٠٣	٠٦:٤٣:٥٧	١١:٥٦:٤١	١٧:٠٩:٣٠	١٧:٢٧:٤٤	٢٣:١٥:٥٦
١٢ دی ١٤٠٢	٠٥:٢٢:٢٣	٠٦:٤٤:١٣	١١:٥٧:٠٩	١٧:١٠:١١	١٧:٢٨:٢٤	٢٣:١٦:٢٦
١٣ دی ١٤٠٢	٠٥:٢٢:٤١	٠٦:٤٤:٢٨	١١:٥٧:٣٧	١٧:١٠:٥٢	١٧:٢٩:٠٥	٢٣:١٦:٥٥
١٤ دی ١٤٠٢	٠٥:٢٢:٥٨	٠٦:٤٤:٤١	١١:٥٨:٠٥	١٧:١١:٣٥	١٧:٢٩:٤٦	٢٣:١٧:٢٤
١٥ دی ١٤٠٢	٠٥:٢٣:١٣	٠٦:٤٤:٥٣	١١:٥٨:٣٢	١٧:١٢:١٨	١٧:٣٠:٢٨	٢٣:١٧:٥٣
١٦ دی ١٤٠٢	٠٥:٢٣:٢٨	٠٦:٤٥:٠٣	١١:٥٨:٥٩	١٧:١٣:٠٢	١٧:٣١:١١	٢٣:١٨:٢١
١٧ دی ١٤٠٢	٠٥:٢٣:٤١	٠٦:٤٥:١٢	١١:٥٩:٢٥	١٧:١٣:٤٦	١٧:٣١:٥٤	٢٣:١٨:٥٠
١٨ دی ١٤٠٢	٠٥:٢٣:٥٣	٠٦:٤٥:١٩	١١:٥٩:٥١	١٧:١٤:٣١	١٧:٣٢:٣٨	٢٣:١٩:١٧
١٩ دی ١٤٠٢	٠٥:٢٤:٠٣	٠٦:٤٥:٢٥	١٢:٠٠:١٦	١٧:١٥:١٧	١٧:٣٣:٢٣	٢٣:١٩:٤٥
٢٠ دی ١٤٠٢	٠٥:٢٤:١٣	٠٦:٤٥:٢٩	١٢:٠٠:٤١	١٧:١٦:٠٣	١٧:٣٤:٠٧	٢٣:٢٠:١٢
٢١ دی ١٤٠٢	٠٥:٢٤:٢١	٠٦:٤٥:٣١	١٢:٠١:٠٦	١٧:١٦:٥٠	١٧:٣٤:٥٢	٢٣:٢٠:٣٨
٢٢ دی ١٤٠٢	٠٥:٢٤:٢٧	٠٦:٤٥:٣٢	١٢:٠١:٢٩	١٧:١٧:٣٧	١٧:٣٥:٣٨	٢٣:٢١:٠٤
٢٣ دی ١٤٠٢	٠٥:٢٤:٣٢	٠٦:٤٥:٣٢	١٢:٠١:٥٢	١٧:١٨:٢٤	١٧:٣٦:٢٤	٢٣:٢١:٣٠
٢٤ دی ١٤٠٢	٠٥:٢٤:٣٦	٠٦:٤٥:٢٩	١٢:٠٢:١٥	١٧:١٩:١٢	١٧:٣٧:١٠	٢٣:٢١:٥٥
٢٥ دی ١٤٠٢	٠٥:٢٤:٣٨	٠٦:٤٥:٢٦	١٢:٠٢:٣٧	١٧:١٩:٥٩	١٧:٣٧:٥٦	٢٣:٢٢:١٩
٢٦ دی ١٤٠٢	٠٥:٢٤:٣٩	٠٦:٤٥:٢٠	١٢:٠٢:٥٨	١٧:٢٠:٤٨	١٧:٣٨:٤٢	٢٣:٢٢:٤٣
٢٧ دی ١٤٠٢	٠٥:٢٤:٣٩	٠٦:٤٥:١٣	١٢:٠٣:١٨	١٧:٢١:٣٦	١٧:٣٩:٢٩	٢٣:٢٣:٠٦
٢٨ دی ١٤٠٢	٠٥:٢٤:٣٦	٠٦:٤٥:٠٥	١٢:٠٣:٣٨	١٧:٢٢:٢٤	١٧:٤٠:١٦	٢٣:٢٣:٢٩
٢٩ دی ١٤٠٢	٠٥:٢٤:٣٣	٠٦:٤٤:٥٥	١٢:٠٣:٥٧	١٧:٢٣:١٣	١٧:٤١:٠٣	٢٣:٢٣:٥٠
٣٠ دی ١٤٠٢	٠٥:٢٤:٢٨	٠٦:٤٤:٤٣	١٢:٠٤:١٥	١٧:٢٤:٠٢	١٧:٤١:٤٩	٢٣:٢٤:١١
٠١ بهمن ١٤٠٢	٠٥:٢٤:٢١	٠٦:٤٤:٣٠	١٢:٠٤:٣٣	١٧:٢٤:٥٠	١٧:٤٢:٣٦	٢٣:٢٤:٣٢
٠٢ بهمن ١٤٠٢	٠٥:٢٤:١٣	٠٦:٤٤:١٥	١٢:٠٤:٥٠	١٧:٢٥:٣٩	١٧:٤٣:٢٣	٢٣:٢٤:٥١
٠٣ بهمن ١٤٠٢	٠٥:٢٤:٠٤	٠٦:٤٣:٥٨	١٢:٠٥:٠٦	١٧:٢٦:٢٨	١٧:٤٤:١٠	٢٣:٢٥:١٠
٠٤ بهمن ١٤٠٢	٠٥:٢٣:٥٣	٠٦:٤٣:٤٠	١٢:٠٥:٢١	١٧:٢٧:١٦	١٧:٤٤:٥٧	٢٣:٢٥:٢٨
٠٥ بهمن ١٤٠٢	٠٥:٢٣:٤١	٠٦:٤٣:٢١	١٢:٠٥:٣٥	١٧:٢٨:٠٥	١٧:٤٥:٤٣	٢٣:٢٥:٤٦
٠٦ بهمن ١٤٠٢	٠٥:٢٣:٢٧	٠٦:٤٣:٠٠	١٢:٠٥:٤٩	١٧:٢٨:٥٣	١٧:٤٦:٣٠	٢٣:٢٦:٠٢
٠٧ بهمن ١٤٠٢	٠٥:٢٣:١١	٠٦:٤٢:٣٨	١٢:٠٦:٠٢	١٧:٢٩:٤٢	١٧:٤٧:١٧	٢٣:٢٦:١٨
٠٨ بهمن ١٤٠٢	٠٥:٢٢:٥٥	٠٦:٤٢:١٤	١٢:٠٦:١٤	١٧:٣٠:٣٠	١٧:٤٨:٠٣	٢٣:٢٦:٣٣
٠٩ بهمن ١٤٠٢	٠٥:٢٢:٣٦	٠٦:٤١:٤٨	١٢:٠٦:٢٥	١٧:٣١:١٨	١٧:٤٨:٤٩	٢٣:٢٦:٤٧
١٠ بهمن ١٤٠٢	٠٥:٢٢:١٧	٠٦:٤١:٢١	١٢:٠٦:٣٥	١٧:٣٢:٠٦	١٧:٤٩:٣٥	٢٣:٢٧:٠١
١١ بهمن ١٤٠٢	٠٥:٢١:٥٦	٠٦:٤٠:٥٣	١٢:٠٦:٤٥	١٧:٣٢:٥٤	١٧:٥٠:٢١	٢٣:٢٧:١٣
١٢ بهمن ١٤٠٢	٠٥:٢١:٣٣	٠٦:٤٠:٢٤	١٢:٠٦:٥٣	١٧:٣٣:٤١	١٧:٥١:٠٦	٢٣:٢٧:٢٥
١٣ بهمن ١٤٠٢	٠٥:٢١:٠٩	٠٦:٣٩:٥٣	١٢:٠٧:٠١	١٧:٣٤:٢٨	١٧:٥١:٥٢	٢٣:٢٧:٣٦
١٤ بهمن ١٤٠٢	٠٥:٢٠:٤٤	٠٦:٣٩:٢٠	١٢:٠٧:٠٩	١٧:٣٥:١٥	١٧:٥٢:٣٧	٢٣:٢٧:٤٦
١٥ بهمن ١٤٠٢	٠٥:٢٠:١٧	٠٦:٣٨:٤٧	١٢:٠٧:١٥	١٧:٣٦:٠٢	١٧:٥٣:٢٢	٢٣:٢٧:٥٥
١٦ بهمن ١٤٠٢	٠٥:١٩:٤٩	٠٦:٣٨:١٢	١٢:٠٧:٢١	١٧:٣٦:٤٩	١٧:٥٤:٠٦	٢٣:٢٨:٠٤
١٧ بهمن ١٤٠٢	٠٥:١٩:١٩	٠٦:٣٧:٣٥	١٢:٠٧:٢٥	١٧:٣٧:٣٥	١٧:٥٤:٥١	٢٣:٢٨:١٢
١٨ بهمن ١٤٠٢	٠٥:١٨:٤٨	٠٦:٣٦:٥٨	١٢:٠٧:٢٩	١٧:٣٨:٢١	١٧:٥٥:٣٥	٢٣:٢٨:١٨
١٩ بهمن ١٤٠٢	٠٥:١٨:١٦	٠٦:٣٦:١٩	١٢:٠٧:٣٣	١٧:٣٩:٠٦	١٧:٥٦:١٨	٢٣:٢٨:٢٤
٢٠ بهمن ١٤٠٢	٠٥:١٧:٤٢	٠٦:٣٥:٣٩	١٢:٠٧:٣٥	١٧:٣٩:٥١	١٧:٥٧:٠٢	٢٣:٢٨:٢٩
٢١ بهمن ١٤٠٢	٠٥:١٧:٠٨	٠٦:٣٤:٥٨	١٢:٠٧:٣٧	١٧:٤٠:٣٦	١٧:٥٧:٤٥	٢٣:٢٨:٣٤
٢٢ بهمن ١٤٠٢	٠٥:١٦:٣١	٠٦:٣٤:١٥	١٢:٠٧:٣٨	١٧:٤١:٢١	١٧:٥٨:٢٧	٢٣:٢٨:٣٧
٢٣ بهمن ١٤٠٢	٠٥:١٥:٥٤	٠٦:٣٣:٣٢	١٢:٠٧:٣٨	١٧:٤٢:٠٥	١٧:٥٩:١٠	٢٣:٢٨:٤٠
٢٤ بهمن ١٤٠٢	٠٥:١٥:١٥	٠٦:٣٢:٤٧	١٢:٠٧:٣٧	١٧:٤٢:٤٨	١٧:٥٩:٥٢	٢٣:٢٨:٤٢
٢٥ بهمن ١٤٠٢	٠٥:١٤:٣٥	٠٦:٣٢:٠١	١٢:٠٧:٣٦	١٧:٤٣:٣١	١٨:٠٠:٣٣	٢٣:٢٨:٤٢
٢٦ بهمن ١٤٠٢	٠٥:١٣:٥٣	٠٦:٣١:١٤	١٢:٠٧:٣٤	١٧:٤٤:١٤	١٨:٠١:١٤	٢٣:٢٨:٤٣
٢٧ بهمن ١٤٠٢	٠٥:١٣:١١	٠٦:٣٠:٢٦	١٢:٠٧:٣١	١٧:٤٤:٥٧	١٨:٠١:٥٥	٢٣:٢٨:٤٢
٢٨ بهمن ١٤٠٢	٠٥:١٢:٢٧	٠٦:٢٩:٣٧	١٢:٠٧:٢٧	١٧:٤٥:٣٩	١٨:٠٢:٣٦	٢٣:٢٨:٤٠
٢٩ بهمن ١٤٠٢	٠٥:١١:٤٢	٠٦:٢٨:٤٧	١٢:٠٧:٢٣	١٧:٤٦:٢٠	١٨:٠٣:١٦	٢٣:٢٨:٣٨
٣٠ بهمن ١٤٠٢	٠٥:١٠:٥٦	٠٦:٢٧:٥٦	١٢:٠٧:١٧	١٧:٤٧:٠١	١٨:٠٣:٥٥	٢٣:٢٨:٣٥
٠١ اسفند ١٤٠٢	٠٥:١٠:٠٨	٠٦:٢٧:٠٤	١٢:٠٧:١٢	١٧:٤٧:٤٢	١٨:٠٤:٣٤	٢٣:٢٨:٣١
٠٢ اسفند ١٤٠٢	٠٥:٠٩:٢٠	٠٦:٢٦:١١	١٢:٠٧:٠٥	١٧:٤٨:٢٢	١٨:٠٥:١٣	٢٣:٢٨:٢٦
٠٣ اسفند ١٤٠٢	٠٥:٠٨:٣٠	٠٦:٢٥:١٧	١٢:٠٦:٥٨	١٧:٤٩:٠٢	١٨:٠٥:٥٢	٢٣:٢٨:٢١
٠٤ اسفند ١٤٠٢	٠٥:٠٧:٣٩	٠٦:٢٤:٢٢	١٢:٠٦:٥٠	١٧:٤٩:٤١	١٨:٠٦:٣٠	٢٣:٢٨:١٤
٠٥ اسفند ١٤٠٢	٠٥:٠٦:٤٧	٠٦:٢٣:٢٦	١٢:٠٦:٤٢	١٧:٥٠:٢٠	١٨:٠٧:٠٨	٢٣:٢٨:٠٧
٠٦ اسفند ١٤٠٢	٠٥:٠٥:٥٥	٠٦:٢٢:٣٠	١٢:٠٦:٣٣	١٧:٥٠:٥٩	١٨:٠٧:٤٥	٢٣:٢٨:٠٠
٠٧ اسفند ١٤٠٢	٠٥:٠٥:٠١	٠٦:٢١:٣٣	١٢:٠٦:٢٣	١٧:٥١:٣٧	١٨:٠٨:٢٢	٢٣:٢٧:٥٢
٠٨ اسفند ١٤٠٢	٠٥:٠٤:٠٦	٠٦:٢٠:٣٥	١٢:٠٦:١٣	١٧:٥٢:١٥	١٨:٠٨:٥٩	٢٣:٢٧:٤٣
٠٩ اسفند ١٤٠٢	٠٥:٠٣:١٠	٠٦:١٩:٣٦	١٢:٠٦:٠٣	١٧:٥٢:٥٣	١٨:٠٩:٣٦	٢٣:٢٧:٣٣
١٠ اسفند ١٤٠٢	٠٥:٠٢:١٣	٠٦:١٨:٣٧	١٢:٠٥:٥٢	١٧:٥٣:٣٠	١٨:١٠:١٢	٢٣:٢٧:٢٣
١١ اسفند ١٤٠٢	٠٥:٠١:١٦	٠٦:١٧:٣٧	١٢:٠٥:٤٠	١٧:٥٤:٠٦	١٨:١٠:٤٨	٢٣:٢٧:١٢
١٢ اسفند ١٤٠٢	٠٥:٠٠:١٧	٠٦:١٦:٣٦	١٢:٠٥:٢٨	١٧:٥٤:٤٣	١٨:١١:٢٣	٢٣:٢٧:٠٠
١٣ اسفند ١٤٠٢	٠٤:٥٩:١٨	٠٦:١٥:٣٥	١٢:٠٥:١٥	١٧:٥٥:١٩	١٨:١١:٥٩	٢٣:٢٦:٤٨
١٤ اسفند ١٤٠٢	٠٤:٥٨:١٧	٠٦:١٤:٣٣	١٢:٠٥:٠٢	١٧:٥٥:٥٥	١٨:١٢:٣٤	٢٣:٢٦:٣٦
١٥ اسفند ١٤٠٢	٠٤:٥٧:١٦	٠٦:١٣:٣١	١٢:٠٤:٤٩	١٧:٥٦:٣٠	١٨:١٣:٠٨	٢٣:٢٦:٢٢
١٦ اسفند ١٤٠٢	٠٤:٥٦:١٤	٠٦:١٢:٢٨	١٢:٠٤:٣٥	١٧:٥٧:٠٦	١٨:١٣:٤٣	٢٣:٢٦:٠٩
١٧ اسفند ١٤٠٢	٠٤:٥٥:١٢	٠٦:١١:٢٤	١٢:٠٤:٢٠	١٧:٥٧:٤١	١٨:١٤:١٧	٢٣:٢٥:٥٥
١٨ اسفند ١٤٠٢	٠٤:٥٤:٠٨	٠٦:١٠:٢٠	١٢:٠٤:٠٦	١٧:٥٨:١٥	١٨:١٤:٥٢	٢٣:٢٥:٤٠
١٩ اسفند ١٤٠٢	٠٤:٥٣:٠٤	٠٦:٠٩:١٦	١٢:٠٣:٥١	١٧:٥٨:٥٠	١٨:١٥:٢٥	٢٣:٢٥:٢٥
٢٠ اسفند ١٤٠٢	٠٤:٥١:٥٩	٠٦:٠٨:١١	١٢:٠٣:٣٥	١٧:٥٩:٢٤	١٨:١٥:٥٩	٢٣:٢٥:٠٩
٢١ اسفند ١٤٠٢	٠٤:٥٠:٥٤	٠٦:٠٧:٠٦	١٢:٠٣:٢٠	١٧:٥٩:٥٨	١٨:١٦:٣٣	٢٣:٢٤:٥٣
٢٢ اسفند ١٤٠٢	٠٤:٤٩:٤٨	٠٦:٠٦:٠١	١٢:٠٣:٠٤	١٨:٠٠:٣١	١٨:١٧:٠٦	٢٣:٢٤:٣٦
٢٣ اسفند ١٤٠٢	٠٤:٤٨:٤١	٠٦:٠٤:٥٥	١٢:٠٢:٤٨	١٨:٠١:٠٥	١٨:١٧:٣٩	٢٣:٢٤:١٩
٢٤ اسفند ١٤٠٢	٠٤:٤٧:٣٤	٠٦:٠٣:٤٩	١٢:٠٢:٣١	١٨:٠١:٣٨	١٨:١٨:١٢	٢٣:٢٤:٠٢
٢٥ اسفند ١٤٠٢	٠٤:٤٦:٢٦	٠٦:٠٢:٤٣	١٢:٠٢:١٤	١٨:٠٢:١١	١٨:١٨:٤٥	٢٣:٢٣:٤٤
٢٦ اسفند ١٤٠٢	٠٤:٤٥:١٧	٠٦:٠١:٣٦	١٢:٠١:٥٧	١٨:٠٢:٤٤	١٨:١٩:١٨	٢٣:٢٣:٢٦
٢٧ اسفند ١٤٠٢	٠٤:٤٤:٠٨	٠٦:٠٠:٢٩	١٢:٠١:٤٠	١٨:٠٣:١٦	١٨:١٩:٥٠	٢٣:٢٣:٠٧
٢٨ اسفند ١٤٠٢	٠٤:٤٢:٥٩	٠٥:٥٩:٢٢	١٢:٠١:٢٣	١٨:٠٣:٤٨	١٨:٢٠:٢٢	٢٣:٢٢:٤٩
٢٩ اسفند ١٤٠٢	٠٤:٤١:٤٩	٠٥:٥٨:١٥	١٢:٠١:٠٥	١٨:٠٤:٢٠	١٨:٢٠:٥٥	٢٣:٢٢:٢٩
